,name,required_age,is_free,currency,final,total_reviews,review_score
1198490,All That Remains: Part 1,0,False,EUR,2.39,4,0
1198510,Paperball,0,False,EUR,9.99,134,8
1198550,Moderium,0,False,EUR,0.79,1,0
1198600,Pizza Time Explosion,0,False,EUR,4.99,18,7
1198630,Customer Cums First!,0,False,EUR,9.99,10,7
1198700,Chained: A Victorian Nightmare,0,False,EUR,3.99,16,6
1198730,Hentai Police,0,False,EUR,0.79,127,8
1198740,Colony Siege,0,False,EUR,12.49,78,8
1198810,Wolf and Pigs,0,False,EUR,16.79,6,0
1198820,Monster Girl Garden,0,False,EUR,8.19,14,5
1198210,Dogworld,0,False,EUR,12.49,56,8
1198220,Slave Girl Reno,0,False,EUR,3.99,3,0
1198240,Danger City,0,False,EUR,9.99,4,0
1198270,The Button Witch,0,False,EUR,12.49,7,0
1198290,Space Block Buster,0,False,EUR,8.19,14,7
1198310,Mr.King Luo!Don't be kidding,0,False,EUR,3.29,1,0
1198340,Summoner VR,0,False,EUR,4.99,1,0
1198380,COWBOY YAKUZA,0,False,EUR,8.19,3,0
1198390,Kawaii Girl,0,False,EUR,0.79,6,0
1198400,Rhythm Fighter,0,False,EUR,12.49,14,7
1198440,The Burning Descent,0,False,EUR,24.99,2,0
1198450,The Secret Order 8: Return to the Buried Kingdom,0,False,EUR,14.99,30,7
1197990,"Shoot, push, portals",0,False,EUR,0.79,12,7
1198020,Braverz,0,False,EUR,9.0,1,0
1198040,Wide Ocean Big Jacket,0,False,EUR,6.59,137,8
1198050,War Remains: Dan Carlin Presents an Immersive Memory,0,False,EUR,3.99,72,6
1198060,Christmas Stories: Enchanted Express Collector's Edition,0,False,EUR,8.19,6,0
1198070,The Christmas Spirit: Grimm Tales Collector's Edition,0,False,EUR,8.19,8,0
1198080,Westminster Darkly,0,False,EUR,3.29,2,0
1198090,The Legend of Heroes: Trails of Cold Steel IV,0,False,EUR,59.99,663,8
1198110,Fantasy Realm TD,0,False,EUR,8.19,3,0
1197520,Familia,0,False,EUR,3.99,13,7
1197530,Planet Modular TD,0,False,EUR,8.19,5,0
1197550,Ouction,0,False,EUR,6.59,17,4
1197570,Until We Die,0,False,EUR,13.99,521,6
1197590,Waifu Uncovered,0,False,EUR,3.99,46,7
1197670,Robin Hood: Country Heroes,0,False,EUR,5.69,1,0
1197700,Hermes: War of the Gods,0,False,EUR,5.69,1,0
1197710,Golden Rails: Tales of the Wild West,0,False,EUR,5.69,2,0
1197770,Lilly Knight and the Three Cities of Lust,0,False,EUR,9.99,120,6
1197820,Craftlands Workshoppe,0,False,EUR,16.99,45,6
1197840,The incredible friends,0,False,EUR,1.59,1,0
1197010,TAL: Wizard's Adventures,0,False,EUR,1.59,5,0
1197020,Tale of the Gallant Jiraiya,0,False,EUR,8.99,1,0
1197030,Mystic Pillars: A Story-Based Puzzle Game,0,False,EUR,5.69,34,7
1197060,FUNGI,0,True,,,2,0
1197100,Red Mercenary,0,False,EUR,9.99,6,0
1197110,Advancity,0,False,EUR,12.49,5,0
1197150,Em-A-Li,0,False,EUR,1.59,6,0
1197210,HentaiTeachers,0,False,EUR,0.79,4,0
1197230,Biba`s Adventures — Hardcore Platformer,0,False,EUR,2.39,9,0
1197340,Dead territory,0,False,EUR,3.99,1,0
1197350,Santa's Big Sack,0,False,EUR,3.99,11,7
1197360,The Santa Challenge,0,False,EUR,2.39,1,0
1197370,Suite 776,0,False,EUR,3.29,250,8
1197380,Flashover MegaSector,0,False,EUR,0.79,1,0
1197390,Robot Island,0,False,EUR,1.57,19,7
1197500,Groove Runner,0,False,EUR,3.99,1,0
1196750,Hentai Match Fantasy Stories,0,False,EUR,2.19,7,0
1196800,TaniNani,0,False,EUR,3.99,14,7
1196890,Puzzle Tower,0,False,EUR,1.59,10,7
1196940,Particulate,0,False,EUR,8.19,5,0
1196970,Vile Matter,0,False,EUR,2.39,3,0
1196260,Draft Day Sports: Pro Basketball 2020,0,False,EUR,16.79,6,0
1196280,Pussy Puzzle,0,False,EUR,3.99,3,0
1196350,ATROFIL: THE KEY,0,False,EUR,2.39,1,0
1196380,Automaton,0,False,EUR,4.99,3,0
